2,1,0.75,1.0,False,161,164,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2018-01-15 16:36:43,2018-01-15 16:42:29,5
2,1,2.89,1.0,False,161,211,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3,2018-01-15 17:07:29,2018-01-15 17:24:38,17
2,2,3.71,1.0,False,246,141,1,20.5,0.0,0.5,2.0,0.0,0.3,23.3,2018-01-16 09:02:15,2018-01-16 09:34:16,32
1,1,1.9,1.0,False,249,100,1,11.5,1.0,0.5,2.0,0.0,0.3,15.3,2018-01-16 17:07:11,2018-01-16 17:23:30,16
2,2,0.6,1.0,False,162,161,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2018-01-16 20:52:08,2018-01-16 20:57:12,5
1,1,2.1,1.0,False,239,229,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,2018-01-16 21:31:06,2018-01-16 21:41:20,10
2,1,0.95,1.0,False,237,141,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16,2018-01-17 11:49:54,2018-01-17 11:56:39,6
2,2,0.89,1.0,False,161,237,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16,2018-01-17 13:55:37,2018-01-17 14:07:58,12
2,1,1.13,1.0,False,237,263,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,2018-01-17 14:44:52,2018-01-17 14:58:26,13
2,1,0.56,1.0,False,239,238,2,4.0,1.0,0.5,0.0,0.0,0.3,5.8,2018-01-17 19:11:46,2018-01-17 19:14:05,2
1,1,1.3,1.0,False,90,230,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35,2018-01-18 07:57:23,2018-01-18 08:05:12,7
1,3,1.3,1.0,False,100,161,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,2018-01-18 11:36:17,2018-01-18 11:49:52,13
2,1,0.28,1.0,False,113,113,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3,2018-01-18 15:01:13,2018-01-18 15:03:04,1
2,1,0.62,1.0,False,170,107,1,4.5,0.0,0.5,1.0,0.0,0.3,6.3,2018-01-18 15:46:15,2018-01-18 15:49:46,3
2,1,1.74,1.0,False,24,116,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3,2018-01-18 15:48:17,2018-01-18 15:57:45,9
1,1,3.6,1.0,False,231,50,1,15.5,0.5,0.5,3.35,0.0,0.3,20.15,2018-01-18 20:37:48,2018-01-18 20:55:25,17
